timestamp,Exchange Rate,close,open,high,low,volume,change,비트코인,업비트,bitcoin,coinbase
2021-06-03,1110.3,43533752.699999996,41736177.0,43533752.699999996,41493021.3,5750.0,4.31,61,75,71,12
2021-06-04,1111.8,40974277.199999996,43592566.199999996,43592566.199999996,40616277.6,5930.0,-6.01,59,70,78,8
2021-06-05,1111.8,39516707.4,40963159.199999996,41904075.54,39242092.8,6590.0,-3.56,53,53,69,5
2021-06-06,1111.8,39782427.6,39516707.4,40289408.4,39464452.8,6510.0,0.67,58,58,73,5
2021-06-07,1117.5,37543530.0,39986385.0,40915362.75,37543530.0,9970.0,-6.11,59,65,69,5
2021-06-08,1111.2,37130748.0,37331875.2,37497221.760000005,35055693.12,12920.0,-0.54,85,74,100,6
2021-06-09,1113.7,41593353.9,37214285.5,41752613.0,36387920.1,26970.0,11.77,82,69,88,5
2021-06-10,1115.8,40893177.35999999,41671782.6,42325641.4,40792532.199999996,9570.0,-1.87,63,63,78,5
2021-06-11,1115.0,41631870.0,40863858.0,41731105.0,40521330.0,6420.0,1.88,62,83,66,5
2021-06-12,1115.0,39617065.0,41631870.0,41631870.0,39231275.0,7380.0,-4.84,58,70,59,4
2021-06-13,1115.0,43489460.0,39617065.0,43508526.5,39007160.0,8990.0,9.77,60,54,59,4
2021-06-14,1111.2,45003600.0,43341244.800000004,45261398.4,43127894.4,9730.0,3.84,63,69,73,5
2021-06-15,1116.4,44811179.6,45224247.6,45447304.32000001,44350106.400000006,7780.0,-0.89,49,61,63,7
2021-06-16,1117.8,42847509.6,44867374.199999996,45152413.199999996,42847509.6,6790.0,-4.5,50,57,56,8
2021-06-17,1117.7,42540779.7,42843676.4,43952434.800000004,42174956.49,3540.0,-0.71,44,54,52,7
2021-06-18,1129.5,40438359.0,42989899.5,42989899.5,40085955.0,11420.0,-5.94,51,56,53,5
2021-06-19,1129.5,40194161.1,40438359.0,40928562.0,40052070.0,11570.0,-0.6,49,45,49,4
2021-06-20,1129.5,40245214.5,40194161.1,40623597.0,38092387.5,16930.0,0.13,59,55,56,4
2021-06-21,1132.2,35959804.2,40341418.2,40341418.2,35635995.0,23450.0,-10.86,78,65,78,5
2021-06-22,1135.4,36960676.2,36061439.400000006,37808820.0,33979115.800000004,26870.0,2.49,100,75,99,6
2021-06-23,1132.4,38165277.2,36863017.2,38723550.400000006,36863017.2,9140.0,3.53,71,67,73,5
2021-06-24,1135.6,39356034.95999999,38273126.8,39901804.31999999,36941068.0,4860.0,2.83,56,51,62,5
2021-06-25,1135.8,35873107.199999996,39362966.279999994,39656457.0,35873107.199999996,37670.0,-8.87,48,53,63,5
2021-06-26,1135.8,36753352.199999996,35873902.26,36753352.199999996,34449949.8,20530.0,2.45,56,46,56,4
2021-06-27,1135.8,39431568.6,36753352.199999996,39431568.6,36753352.199999996,28710.0,7.29,47,44,53,4
2021-06-28,1128.8,38925539.199999996,39188549.6,39697638.4,38550777.6,6180.0,-0.67,57,63,59,5
2021-06-29,1129.9,40558777.410000004,38963471.6,41140788.900000006,38774439.33,5510.0,4.09,48,60,58,6
2021-06-30,1130.0,39599155.0,40562367.0,40658530.0,39272020.0,3450.0,-2.37,45,60,50,6
2021-07-01,1129.5,37899694.800000004,39581633.25,39581633.25,37071319.5,5820.0,-4.25,63,82,60,5
2021-07-02,1132.2,38286475.2,37990291.68,38408752.800000004,37053509.4,5150.0,0.78,55,71,59,5
2021-07-03,1132.2,39353007.6,38286475.2,39357536.4,37998443.52,2890.0,2.79,59,68,53,4
2021-07-04,1132.2,39954205.800000004,40186306.800000004,40512380.4,39954205.800000004,2930.0,1.53,61,58,61,5
2021-07-05,1134.5,38196346.0,40035370.5,40035370.5,37982152.4,7720.0,-4.59,63,70,59,5
2021-07-06,1130.3,38588442.0,38054940.4,39400901.64,38054940.4,8810.0,1.4,54,66,52,5
2021-07-07,1131.8,38352174.8,38770940.8,39699016.8,38284266.8,3510.0,-0.74,52,66,52,5
2021-07-08,1137.6,37397348.64,38548713.599999994,38609006.4,36474868.8,14290.0,-2.99,55,68,58,5
2021-07-09,1143.4,38611474.6,37588017.260000005,38925909.6,37245111.6,6660.0,2.72,53,60,54,5
2021-07-10,1143.4,38310760.400000006,38611474.6,39128291.400000006,37759641.6,6460.0,-0.78,46,51,47,4
2021-07-11,1143.4,39148872.6,38310760.400000006,39543345.6,38094657.800000004,2150.0,2.19,49,48,46,4
2021-07-12,1148.3,37997247.0,39316643.699999996,39758739.199999996,37452952.8,8410.0,-3.36,50,54,52,5
2021-07-13,1146.4,37518232.800000004,37934376.0,38212951.2,36925544.0,4019.9999999999995,-1.1,51,55,51,5
2021-07-14,1145.1,37585159.26,37475687.699999996,37922276.699999996,36180579.599999994,5190.0,0.29,51,53,53,5
2021-07-15,1150.3,36645107.1,37755836.779999994,38183058.199999996,35854851.0,6960.0,-2.94,49,56,54,5
2021-07-16,1143.7,35945347.300000004,36455437.5,36902624.2,35517603.5,5380.0,-1.34,52,56,54,5
2021-07-17,1143.7,36094028.300000004,35943059.9,36569807.5,35710888.800000004,13710.0,0.41,47,48,50,4
2021-07-18,1143.7,36397108.800000004,36094028.300000004,37086759.9,35696935.660000004,12410.0,0.84,50,46,49,4
2021-07-19,1141.1,35199511.699999996,36314366.4,36428476.4,34819525.4,12800.0,-3.07,51,49,59,4
2021-07-20,1145.7,34148848.77,35341407.9,35602627.5,33615983.7,8880.0,-3.37,68,57,76,5
2021-07-21,1151.0,36994291.0,34306821.1,37757404.0,34006295.0,8250.0,7.83,62,56,71,5
2021-07-22,1150.6,37187392.0,36981434.599999994,37520720.82,36528098.199999996,5230.0,0.56,50,51,62,5
2021-07-23,1151.0,38670262.1,37200320.0,38702720.300000004,36855020.0,3970.0,3.95,44,47,54,4
2021-07-24,1151.0,38955595.0,38670262.1,39183493.0,38468722.0,3340.0,0.74,49,52,55,4
2021-07-25,1151.0,40753457.0,39847620.0,40779930.0,39025806.0,2780.0,4.62,48,54,54,4
2021-07-26,1149.5,42871752.0,40717589.0,46572682.199999996,40549762.0,16309.999999999998,5.34,100,90,100,6
2021-07-27,1153.2,45624051.6,43009747.2,45624051.6,42017995.2,6040.0,6.08,66,66,75,5
2021-07-28,1150.2,46012600.800000004,45505362.6,47042029.800000004,44653064.4,7980.0,1.11,62,58,72,5
2021-07-29,1154.8,46239346.8,46196619.199999996,46911440.4,45362853.6,4070.0000000000005,0.09,53,60,60,4
2021-07-30,1147.4,48384710.6,45935470.56,48470765.6,44029180.2,7770.0,5.31,53,62,58,5
2021-07-31,1147.4,47512686.6,48384710.6,48554525.800000004,47101917.400000006,5070.0,-1.8,49,59,61,5
2021-08-01,1147.4,45806502.800000004,47512686.6,48801216.800000004,45432450.400000006,9110.0,-3.59,52,61,77,6
2021-08-02,1147.5,44931510.0,45810495.0,46406047.5,44426610.0,4620.0,-1.92,52,61,77,6
2021-08-03,1151.5,43995360.5,45088134.0,45799761.0,43411550.0,5080.0,-2.42,46,59,72,7
2021-08-04,1150.7,45744927.800000004,43978603.300000004,45987725.5,43224894.800000004,3670.0,4.05,55,62,72,6
